codeswitch_sentence,languages
قلت لي اصابة padel اجل yeah,Saudi-English
وش علاقتك مع الرياضة اشوفك تلعب تنس مع الامير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة,Saudi-English
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل انواع الرياضة,Saudi-English
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد,Saudi-English
يعني اشياء كثيرة كرة قدم كمان بس ما ما موب نفس احترافية الغولف لالا ابد ابد الغولف عاد من تالي الغولف اممم,Saudi-English
ندور لهم على sports مافيها يعني اقل احتكاك جسدي او يعني مافيه اصابات وذا,Saudi-English
فا لقينا الغولف بالصدفة,Saudi-English
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا,Saudi-English
الجو كيف يكون هواء مطر شمس رطوبة تتنافس مع طبوغرافية ال الملعب الغولف,Saudi-English
اعاقة او handicap,Saudi-English
فكيف تقدر كل مرة تفوز على نفسك او على الاعاقة حقتك او ال handicap حقك,Saudi-English
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah,Saudi-English
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its,Saudi-English
its part of my life الان والعائلة هذا افضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا,Saudi-English
ال حتى ال social activities اللي تكون موجودة العائلة يكونوا معي,Saudi-English
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء اصلا لو ما سويت شيء زي كذا احس انه فيه,Saudi-English
صحيح فيه شيء ناقص فا its part of it حنا ابو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة,Saudi-English
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش الى اليوم,Saudi-English
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت,Saudi-English
رحت للديوان and it wasnt للصندوق الاستثمارات العامة,Saudi-English
i was brought in على شان التاسيس مركز اتخاذ دعم القرار,Saudi-English
كانت فكرة سمو الامير انه معظم القرارات اللي تكون موجودة based على ال opinion على الراي,Saudi-English
وليست based على الادلة او ال evidence,Saudi-English
فا عطانا الرؤية حقته وسالته يعني انا ما ما اشتغلت ايش علاقة banker في مركز دعم اتخاذ القرار فقال لانه ال bankers,Saudi-English
ما يستخدموا فقط الراي انه my gut feeling انه to go and buy this ولا سوا كذا,Saudi-English
السعودي الفرنسي capital معروف يعني كان الاول ما احد يعرفه,Saudi-English
وسوينا فيها كمان يعني ال deals,Saudi-English
فا كنا access نعطي access لل clients حقينا,Saudi-English
لانه يدخلوا مثلا مع black rock مع كل ال اء,Saudi-English
كان بالنسبة ibos قبلها ال كان سوق الاسهم,Saudi-English
الظاهر سبعين شركة يوم طلعت كان مية واربعين شركة so double dub القيمة السوقية كمان كبرت,Saudi-English
كنت كمان المسؤول عن ال mna activities اللي هي الاندماج و الاستحواذ الاستحواذ كنت مسؤول عن,Saudi-English
يعني زي ال reits اللي هي الصناديق العقارية كانت معي كان معي برضو,Saudi-English
اء ال accessibility للمستثمرين الاجانب فالسوق السعودي,Saudi-English
اء يعني كان بالنسبة لل systems وكيف تسويها او ال processes ومن الكلام ذا,Saudi-English
so بعد شهر من بداياتي مع ال مع الديوان,Saudi-English
لكن وفالقروض وفي اشياء كثيرة من النواحي التنموية وليست كا sovereign wealth fund,Saudi-English
فقلت له ok تكلمت مع اء هيئة السوق المالية قلت لهم عطوني ال اء اسماء,Saudi-English
وجبت يعني جبت الاسماء كاملة والملفات and everything,Saudi-English
و i was going through the names يعني و name by name فا ما كان مقتنع بشكل كامل بمعظم الاسماء قال لا جيب لي احد ثاني,Saudi-English
and we were going through everything وش كان وش كان محتوى هذاك الاجتماع ال اء المحتوى حطينا يعني ال blueprint,Saudi-English
الان اء وش كانت رؤيته في ذيك اللحظة حنا نتكلم على الفين وخمسطعش لسى قبل ما الناس تدري عن الصندوق الفين وخمسطعش again سمو الامير اعتمد على معلومات اكثر من راي,Saudi-English
so اول شيء سويناه,Saudi-English
فحص كامل diagnostic,Saudi-English
ايش هي ال pros ال cons الاشياء اللي نسويها الاشياء اللي ما نسويها هذا رقم واحد,Saudi-English
رقم اثنين benchmark,Saudi-English
ال sovereign wealth funds فالعالم يسوونه,Saudi-English
so اول صندوق sovereign wealth funds فالعالم كان صندوق ال ال اللي هو الكويت,Saudi-English
norges bankالاقدم الكويتي الاقدم الكويتي مثل ال norges bank الاستراتيجية حقته,Saudi-English
صندوق واحد passive invisment ايش يعني passive يعني يجي يشتري يقول ابغى خمسة بالمية من ال public market اللي موجودة فالعالم,Saudi-English
عندهم يمكن تصورات مثلا يقولوا ما نبغى فال fossil fuel ما نبغى فال مش عارف ايش نبغى في كذا عندهم black list لكن بعدها بعدها استثمار خامل في كل المؤشرات فا اذا الاسواق طالعة هم طالعين اذا الاسواق نازلة هم نازلين,Saudi-English
لقينا انه ال اء المملكة او sovereign wealth funds بحاجة الى at least six pools of investments,Saudi-English
نبغى اول شيء saudi equity اللي هو نملكه الان يعني في الفين وخمس طعش,Saudi-English
هذا one pool,Saudi-English
second pool is sectors اللي كانت موجودة فالمملكة كثير منها either غير موجودة او dormant,Saudi-English
او انها تعبانه either تعبانه لانه مافيه,Saudi-English
استثمار كامل او regulations ضد تطوير ال sectors هذي او ما فيه regulations من الاساس تسمح بالدخول فيها excactly,Saudi-English
ال pool الثالث اللي هو الطابع العقاري giga projects,Saudi-English
موجود ففكره neom موجود القدية موجود ال red sea موجود roshen موجود كل الاشياء هذا فالفكر اللي موجود عنده والرؤية اللي موجودة عنده,Saudi-English
فا سويناها محفظة او pool,Saudi-English
مشاريع الكبرى مشاريع الكبرى giga projects حتى الاسم giga يعني قلنا اول شيء mega ايه mega موجودة فكل مكان اي مشروع كبير,Saudi-English
يسمونه mega projects,Saudi-English
it’s not this is giga this is like an eco system كامل,Saudi-English
جالس اسويه ما هوب ما هوب بشيء يعني بسيط او مشروع واحد ولا ارصفة ومش عارف ايش وعمارة وحديقة ومواقف وشوارع no this is a whole eco system,Saudi-English
الشيء الثالث اللي هو ال real estate وال infastructure,Saudi-English
wherever real estate موجودة مثلا شركات رؤى المدينة رؤى الحرم او شركات اللي جالسين نسويها الان اللي هي تطوير وسط المدن وسط المدن المطارات ايضا تطوير المطارات المطارات فال infastructure,Saudi-English
بين ال sector development وبين على حسب ايش ال ال يعني هذا من الاشياء اللي تم النظر فيها داخليا وين تكون المشاريع مثلا في هذا ال pool ولا هذا ال pool,Saudi-English
فهذي الاربعة first اربع محافظ,Saudi-English
والاستثمار الدولي الاول ما كان عندنا تقريبا اقل من خمسة فالمية less than one and a half percent,Saudi-English
وكان اكثره politicly incentives investment مثلا في الدول العربية في من الكلام هذا فما كانت,Saudi-English
فا كان فيه عندنا يمكن استثمار واحد اللي هو في posco steel korea في كوريا كان في اخر,Saudi-English
الاستثمارات الدولية سوينا برضو محفظتين اللي هي ال balanced portfolio اللي هو يستثمر في كل شيء,Saudi-English
ان كان مع ال fund managers,Saudi-English
ان كان في different underlying فال private equity فال public markets في في different instruments of ال investmets,Saudi-English
هذي اغلبها استثمارات غير مباشرة هذي عبر مدراء صناديق لا حتى مم ممكن تكون direct بس ماهي stratigec,Saudi-English
stratigec invesment اللي هي direct,Saudi-English
او non direct بس تكون لها طابع استراتيجي مثل زي مثلا soft bank vision fund that’s a strategic يعني forty five billion dollars,Saudi-English
في صندوق قيمته مئة مليار soft bank نفسهم كانوا حاطين ثمانية وعشرين مليار فيه,Saudi-English
soft bank the company,Saudi-English
blackstone استثمرنا فالبنية التحتية في امريكا,Saudi-English
خمسين مليار واحنا حاطين عشرين مليار so it’s forty percent of that fund so هذي تعتبر strategic استثمارنا اللي وضعنا,Saudi-English
على الخارطة العالمية للاستثمار في uber,Saudi-English
اء ما داومت فيه tell you the truth لانه تم نقل صندوق الاستثمارات العامة من تحت وزارة المالية الى,Saudi-English
so سمو الامير قال go and find proper offices لكم,Saudi-English
and رحت هناك كانت تقريبا ماهي جاهزة المدينة الرقمية,Saudi-English
فيه عمارة وحدة فيها اللي جاهزة اللي هي العمارة حقت ال maintanance الصيانة,Saudi-English
فقلت ممتاز ok lets take,Saudi-English
يعني جزء منها فا خذينا i remmeber نص دور,Saudi-English
اء region,Saudi-English
اء was moving out من هيئة السوق المالية وانا كان يشتغل معي فهيئة السوق المالية,Saudi-English
here is what i want هذا ال mandate اللي عندي,Saudi-English
ودي اني ودي انك تجي قال ok خلاص جاي,Saudi-English
طيب ما سالتني وش الراتب وش هذي قالي خلاص مو مشكلة جاي فكان من اول الاشخاص تركي النويصر samething كان جايني,Saudi-English
mandate من سمو الامير انه نبغى نستثمر اء في فرنسا,Saudi-English
فا تكلمت مع ال previous employer حقي السعودي الفرنسي capital وتركي كان رئيس الاستثمار هناك ال ادارة الاصول,Saudi-English
they couldn’t comprehend what i was talking about ما كانوا مستوعبين اطلاقا ما هم مستوعبين,Saudi-English
فقلت you know what,Saudi-English
im not gonnna waste time اتصلت على تركي نفس الشيء فالعصر,Saudi-English
اء قلت له here is the thing ابغاك تجي ومش عارف ايش,Saudi-English
قالي fine زي ردة يزيد ردة فعل يزيد بالضبط,Saudi-English
fine اليوم الثاني الساعة ستة الصباح حنا فالطيارة رايحين فرنسا انا وتركي ويزيد,Saudi-English
يعني هي both of them,Saudi-English
بالاضافة طبعا لسلطان ومهند they were believers يعني ماكان عندهم حتى معلومات كاملة,Saudi-English
بس they believed in the cause,Saudi-English
and maybe personally in me بالتاكيد ب اءء اااء اء سمو الامير محمد,Saudi-English
we moved i remember لمبنى الصيانة فالمدينة الرقمية اخذنا نص دور سوينا اول شيء خمسة مكاتب كانت قزاز يعني اتذكر حتى كنت,Saudi-English
جبنا مقاولين خلص خلصنا اول شيء i think خلال اسبوع الخمسة مكاتب,Saudi-English
today we are تقريبا الف ثمان مية وشيء قريب الالفين شخص,Saudi-English
اء مركو الملك عبدالله المالي اء one of the first tenants and i think,Saudi-English
نفس القصة اللي صارت فالمدينة الرقمية ما كان فيه احد الان ال occupancy rate فيها تقريبا تسعة وتسعين بالمية او ثمانية وتسعين,Saudi-English
كلها بركات الصندوق الاستثمارات العامة وبالتاكيد رئاسة سمو الامير انا if it wasn’t for him none of this would have happened at all,Saudi-English
at all يعني,Saudi-English
hands down لولا الدعم اللي موجود والرؤية اللي موجودة عند سمو الامير none of this would have happened ولا في مئة سنة,Saudi-English
ال kpis المؤشرات قياس الاداء اللي موجودة موجود فيها الصندوق,Saudi-English
يعني لما صارت الاستراتيجية وال vision realization program اللي تفضلت فيه برنامج تحقيق الرؤية,Saudi-English
وفي العائد وش اللي تحقق حجم الاصول كان مية وخمسين مليار دولار دولار,Saudi-English
يعني لما تجي للاصول اللي موجودة اللي تم نقلها جالسين احنا نطرحها فالسوق معظمها private اء,Saudi-English
assets او private companies,Saudi-English
كيف نقدر نخليها جاهزة انها تدخل للسوق so هذ هذي القيمة المضافة ب بالتاكيد,Saudi-English
اء ارامكو مثلا جانا منها اربعة بالمية قبلها ما كان فيه شيء اسمه ارامكو يعني كا كشركة مدرجة,Saudi-English
